counter	condorshadow	Total
1	0	10
2	0	24
3	0	100
4	14	100
5	20	58
6	20	78
7	20	91
8	20	41
9	19	23
10	19	22
11	19	24
12	18	20
13	15	22
14	14	16
15	13	20
16	13	16
17	10	20
18	9	16
19	9	12
20	8	12
21	7	12
22	7	16
23	7	12
24	7	12
25	6	12
26	5	12
27	5	12
28	5	12
29	5	16
30	5	14
31	5	12
32	5	12
33	5	12
34	5	12
35	5	12
36	5	12
37	5	12
38	5	12
39	5	12
40	5	12
41	4	17
42	4	12
43	4	14
44	4	12
45	3	12
46	3	16
47	3	12
48	3	7
49	3	7
50	3	7
51	2	16
52	2	10
53	2	12
54	2	7
55	2	10
56	2	12
57	2	10
58	2	19
59	2	10
60	2	14
61	2	7
62	2	10
63	2	12
64	2	16
65	2	14
66	1	13
67	1	7
68	1	10
69	1	7
70	1	7
71	1	7
72	1	7
73	1	7
74	1	7
75	1	12
76	1	7
77	1	7
78	1	7
79	1	7
80	1	12
81	1	7
82	1	10
83	1	7
84	1	6
85	1	7
86	1	7
87	1	7
88	1	7
89	1	6
90	1	7
91	1	7
92	1	10
93	1	7
94	1	7
95	1	12
96	1	7
97	1	13
98	1	7
99	1	7
100	1	7
101	1	7
102	1	7
103	1	7
104	1	7
105	1	7
106	1	13
107	1	7
108	1	6
109	1	7
110	1	10
111	1	6
112	1	10
113	1	6
114	1	7
115	1	10
116	1	7
117	1	7
118	1	7
119	1	7
120	1	7
121	1	7
122	1	10
123	1	7
124	1	6
125	1	7
126	1	7
127	1	7
128	1	7
129	1	7
130	1	6
131	1	12
132	1	7
133	1	7
134	1	13
135	1	7
136	1	7
137	1	7
138	1	7
139	1	10
140	5	56
141	19	16
142	20	30
143	20	68
144	20	100
145	20	38
146	20	100
147	20	80
148	18	27
149	17	18
150	15	25
151	13	26
152	13	20
153	13	33
154	10	21
155	10	20
156	10	24
157	8	18
158	8	12
159	8	18
160	8	17
161	7	12
162	6	14
163	5	14
164	5	12
165	5	12
166	5	14
167	4	22
168	4	17
169	4	12
170	4	13
171	4	18
172	4	12
173	4	9
174	4	12
175	4	22
176	4	22
177	3	31
178	2	18
179	2	19
180	2	16
181	2	17
182	2	6
183	2	12
184	2	10
185	2	12
186	2	22
187	1	22
188	1	36
189	1	16
190	1	7
191	1	10
192	1	7
193	1	7
194	1	7
195	1	10
196	1	7
197	1	12
198	1	7
199	1	6
200	1	7
201	1	14
202	1	10
203	1	7
204	1	7
205	1	10
206	1	7
207	1	10
208	1	20
209	1	7
210	1	7
211	1	16
212	1	12
213	1	7
214	1	13
215	1	12
216	1	16
217	1	10
218	1	16
219	1	7
220	1	7
221	1	12
222	1	7
223	1	12
224	1	13
225	1	16
226	1	22
227	1	16
228	1	7
229	1	13
230	1	7
231	1	16
232	1	25
233	1	19
234	1	16
235	1	13
236	1	16
237	1	7
238	1	14
239	1	7
240	1	6
241	1	7
242	1	10
243	1	7
244	1	10
245	1	20
246	1	7
247	1	26
248	1	7
249	1	7
250	1	6
251	1	7
252	1	34
253	1	23
254	1	42
255	1	86
256	1	97
257	1	88
258	1	90
259	1	35
260	1	21
261	1	34
262	1	46
263	1	28
264	1	22
265	1	20
266	1	20
267	4	63
268	20	17
269	20	18
270	20	19
271	20	12
272	20	16
273	19	33
274	19	22
275	17	36
276	17	20
277	14	30
278	12	24
279	11	34
280	10	19
281	9	18
282	9	28
283	8	24
284	8	19
285	8	22
286	8	28
287	8	20
288	8	16
289	7	19
290	7	19
291	7	13
292	6	12
293	5	7
294	5	13
295	5	13
296	5	12
297	5	28
298	5	34
299	5	12
300	5	20
301	5	16
302	5	12
303	4	16
304	4	19
305	4	36
306	4	24
307	4	7
308	4	12
309	3	7
310	3	18
311	3	10
312	3	10
313	3	19
314	2	19
315	2	28
316	2	20
317	2	25
318	2	10
319	2	7
320	2	10
321	2	7
322	2	7
323	2	7
324	2	7
325	2	12
326	2	7
327	2	7
328	2	12
329	2	10
330	2	7
331	2	7
332	2	10
333	2	7
334	2	7
335	2	12
336	2	7
337	2	12
338	2	12
339	2	7
340	2	10
341	2	7
342	2	7
343	2	6
344	2	13
345	2	10
346	2	16
347	2	20
348	2	20
349	2	7
350	1	16
351	1	10
352	1	19
353	1	6
354	1	10
355	1	10
356	1	13
357	1	7
358	1	7
359	1	10
360	1	7
361	1	16
362	1	19
363	1	16
364	1	7
365	1	7
366	1	20
367	1	12
368	1	14
369	1	13
370	1	23
371	1	7
372	1	13
373	1	7
374	1	13
375	1	7
376	1	10
377	1	7
378	1	12
379	1	10
380	1	16
381	1	6
382	1	10
383	1	6
384	1	10
385	1	10
386	1	7
387	1	16
388	1	7
389	1	13
390	1	7
391	1	10
392	1	7
393	1	7
394	1	7
395	1	7
396	1	18
397	1	10
398	1	22
399	1	16
400	1	12
401	1	13
402	1	13
403	1	22
404	1	12
405	1	25
406	1	19
407	1	19
408	1	7
409	1	7
410	1	7
411	1	10
412	1	7
413	1	7
414	1	7
415	1	13
416	1	7
417	1	10
418	1	10
419	1	7
420	1	7
421	1	7
422	1	7
423	1	7
424	1	7
425	1	12
426	1	12
427	1	7
428	1	7
429	1	12
430	1	7
431	1	23
432	1	44
433	1	41
434	1	80
435	1	87
436	1	48
437	1	85
438	1	86
439	1	25
440	1	25
441	1	18
442	1	24
443	1	30
444	1	22
445	1	22
446	1	12
447	1	20
448	1	12
449	1	12
450	1	12
451	1	12
452	1	12
453	1	12
454	1	22
455	1	17
456	1	18
457	1	26
458	1	16
459	1	19
460	1	20
461	1	12
462	1	22
463	1	12
464	1	17
465	1	16
466	1	22
467	1	26
468	1	19
469	1	14
470	1	20
471	10	19
472	19	12
473	19	12
474	19	12
475	19	12
476	19	12
477	18	12
478	17	12
479	17	16
480	14	10
481	13	16
482	11	12
483	9	7
484	9	7
485	9	12
486	9	7
487	8	16
488	8	7
489	8	14
490	8	14
491	8	7
492	8	10
493	7	7
494	6	7
495	6	12
496	6	12
497	6	7
498	6	10
499	6	7
500	6	13
501	6	6
502	6	10
503	6	7
504	6	12
505	6	7
506	6	7
507	6	7
508	6	7
509	6	7
510	6	7
511	5	7
512	5	6
513	5	7
514	5	7
515	5	19
516	5	13
517	5	10
518	3	10
519	3	6
520	2	7
521	2	7
522	2	7
523	2	10
524	2	7
525	2	12
526	2	7
527	2	7
528	2	10
529	2	7
530	2	7
531	2	7
532	2	13
533	1	7
534	1	10
535	1	7
536	1	7
537	1	10
538	1	7
539	1	17
540	1	12
541	1	7
542	1	12
543	1	7
544	1	10
545	1	7
546	1	7
547	1	10
548	1	7
549	1	10
550	1	12
551	1	10
552	1	16
553	1	56
554	1	18
555	1	97
556	1	92
557	1	50
558	1	72
559	1	76
560	1	56
561	1	23
562	1	21
563	1	24
564	1	52
565	1	24
566	1	26
567	1	22
568	1	19
569	1	18
570	1	17
571	1	14
572	1	12
573	1	12
574	1	12
575	1	12
576	1	12
577	1	16
578	1	12
579	1	22
580	1	12
581	1	24
582	1	10
583	1	12
584	1	16
585	1	10
586	1	19
587	1	12
588	1	12
589	1	12
590	1	12
591	1	12
592	1	12
593	1	12
594	1	16
595	1	10
596	1	12
597	1	12
598	1	12
599	1	12
600	1	10
601	1	12
602	1	12
603	1	12
604	1	12
605	11	12
606	20	12
607	20	7
608	20	10
609	20	12
610	20	10
611	20	12
612	19	10
613	17	10
614	15	6
615	13	22
616	12	7
617	11	12
618	10	7
619	10	12
